Team,Logo,42,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Georgia,,136,16,16,17,16,16,5,6,17,11,16,10,2,5,17,16,8,16,16,17,18,12,17,17,16,14,0,2,1,3,17,10,0,1,17,16,7,8,11,16,16,15,16
TCU,,71,11,0,1,4,15,3,16,12,3,6,10,16,16,10,2,7,11,0,17,3,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
Michigan,,122,16,14,17,16,10,16,12,0,9,12,13,4,3,0,7,16,12,16,17,18,17,17,17,11,18,18,17,17,14,17,16,16,17,17,8,15,14,6,16,11,15,12
OSU,,163,16,16,17,16,16,16,16,17,17,16,3,16,16,17,16,16,16,10,17,18,9,16,12,16,18,18,17,14,17,14,15,10,8,1,9,9,17,16,16,8,10,16
Alabama,,163,16,16,17,16,16,16,16,17,17,16,16,16,16,17,5,0,13,0,1,11,2,4,16,2,7,18,17,17,17,17,15,3,17,15,11,15,11,3,15,11,15,16
Tennessee,,33,15,0,0,0,3,11,3,0,0,1,0,0,0,1,12,16,9,16,17,11,17,10,17,16,18,18,17,6,17,17,16,16,15,2,16,2,12,0,0,0,0,0
Penn St,,82,14,11,17,16,16,8,0,0,0,0,8,5,16,17,6,5,11,0,0,16,0,1,17,16,18,18,17,17,17,16,16,9,13,5,13,15,17,9,2,16,15,16
Washington,,74,9,1,7,15,16,16,0,1,8,1,1,0,1,0,0,0,0,0,6,9,17,17,1,5,18,14,16,13,11,17,16,16,4,7,5,15,2,16,12,16,11,10
Tulane,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,,84,16,7,17,6,3,11,14,10,0,0,0,14,12,16,0,0,0,16,3,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSU,,94,7,0,0,1,4,16,16,17,17,16,10,11,2,7,2,6,15,16,17,18,15,17,17,16,18,18,17,17,17,17,16,16,15,17,16,5,17,16,5,9,9,16
USC,,84,16,2,5,3,16,6,8,11,5,12,10,7,15,17,16,16,16,16,17,18,0,7,6,5,4,7,17,14,2,12,3,16,17,17,5,9,5,11,4,16,15,16
Clemson,,151,16,8,17,16,16,16,16,13,17,16,13,0,5,3,12,11,6,2,1,0,7,17,0,0,6,2,5,3,8,9,16,16,16,17,16,7,0,6,6,13,12,0
Kansas St,,52,12,1,3,0,3,0,0,17,0,16,11,0,0,0,2,0,0,2,12,14,7,17,17,16,18,18,15,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,,120,15,16,17,9,1,3,9,17,17,16,16,16,13,11,13,11,12,2,3,13,17,12,2,14,0,1,15,7,0,0,0,5,2,3,1,0,0,0,0,0,0,0
LSU,,129,9,1,17,16,13,13,15,12,17,16,16,16,16,13,16,16,16,16,17,15,10,2,0,7,18,18,3,0,0,0,0,0,3,16,16,15,17,11,3,11,0,0
Oregon St,,19,6,0,0,0,0,0,0,0,1,12,0,4,4,6,1,2,0,0,2,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notre Dame,,125,8,16,17,16,13,3,16,12,9,15,3,0,5,0,0,16,15,2,3,16,4,14,5,16,4,18,17,8,17,17,16,16,17,17,16,1,3,6,6,10,4,16
Troy,,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi St,,56,6,0,0,13,9,0,6,13,0,9,3,9,0,0,0,0,0,0,0,0,5,10,13,5,4,0,0,7,2,16,3,0,1,0,0,4,0,0,0,0,10,7
UCLA,,70,11,4,0,0,1,1,11,16,17,9,0,0,0,1,3,0,13,0,0,3,12,7,5,16,14,0,7,5,11,7,10,2,6,17,16,14,15,10,2,16,10,13
Pitt,,19,6,8,0,1,0,2,2,0,0,0,0,1,9,8,0,0,1,3,12,7,0,0,0,0,0,0,0,0,0,0,7,4,17,1,6,0,0,3,8,16,15,16
S Carolina,,43,4,0,0,1,0,0,0,5,17,16,16,15,4,2,8,0,1,1,1,3,17,8,0,0,0,0,0,0,1,0,0,1,3,11,8,0,4,10,0,0,0,12
Fresno St,,22,1,3,0,5,1,0,0,0,12,0,0,0,0,5,0,0,10,4,0,0,11,0,0,0,0,0,0,0,2,1,1,2,3,0,0,1,0,0,0,0,0,0
Texas,,58,9,4,11,13,1,4,0,0,4,12,7,6,16,17,16,16,16,16,17,18,17,16,14,7,4,10,17,11,0,3,2,11,2,1,0,0,4,15,16,14,15,10
Cincinnati,,41,7,16,11,5,0,0,0,0,0,2,4,0,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baylor,,87,5,10,11,0,0,11,16,17,16,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,12,9,0,1,0,0,12
Oklahoma St,,96,11,12,5,3,16,9,14,5,17,4,16,11,15,12,0,0,0,10,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,11,0,16,14,0,0,0,0
Michigan St,,90,3,13,5,8,10,5,16,17,8,5,13,13,0,10,0,0,5,0,7,4,2,6,13,1,13,0,0,0,5,0,3,13,7,3,12,4,0,0,0,0,0,0
Oklahoma,,148,5,16,17,16,16,15,16,14,17,16,16,10,10,17,16,16,4,16,17,18,17,17,0,0,10,0,0,0,0,0,0,0,8,17,16,15,17,16,11,11,10,16
Ole Miss,,73,13,15,0,0,0,8,15,17,5,0,0,0,9,4,0,0,0,0,8,2,0,3,8,0,2,0,0,0,0,6,1,10,0,0,0,1,0,0,0,0,0,0
Florida,,96,3,7,17,12,6,15,12,0,8,16,6,8,16,17,16,16,16,11,14,14,17,17,17,16,18,18,17,17,17,17,16,14,5,4,7,3,17,11,15,7,1,5
Wake Forest,,27,10,12,5,0,0,0,0,0,0,0,0,0,0,8,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston,,29,2,7,0,1,0,9,10,0,0,0,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,17,5,0,0,0,0,0,0,0,3
Kentucky,,29,9,8,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
BYU,,28,6,13,0,2,0,0,2,4,0,1,0,0,15,17,4,6,0,0,0,0,14,0,9,0,6,16,0,10,7,5,4,16,13,1,0,3,17,15,11,0,12,9
NC State,,34,12,10,0,5,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,16,0,2,4,2,0,0,1,8,7,16,11,0,11,0,0,7,0,0,0,0,0,0
Arkansas,,25,5,10,0,0,0,6,2,0,0,2,16,16,0,0,4,10,0,0,6,2,1,0,11,12,0,0,8,0,0,0,2,6,17,11,7,15,17,0,0,16,6,8
Iowa,,54,0,16,17,4,1,5,11,0,0,0,0,13,13,1,0,7,6,12,15,12,0,0,0,0,13,13,4,0,0,2,16,10,2,4,8,10,17,9,16,0,9,0
Utah St,,10,0,1,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDSU,,18,0,8,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,,12,1,0,10,0,0,0,0,1,0,0,0,0,0,2,0,0,2,8,10,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Wisconsin,,105,2,7,17,9,16,15,9,13,15,2,16,16,5,6,12,10,12,16,6,7,3,8,16,16,4,0,5,8,14,0,0,0,0,0,0,0,0,1,0,0,2,0
Auburn,,89,0,9,17,7,16,10,3,17,10,0,7,16,1,7,11,16,12,16,4,6,5,13,0,1,18,14,17,17,13,0,7,15,17,17,16,15,16,16,16,5,0,4
Memphis,,23,0,0,9,0,9,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,2,0,4,6,0,0,0,0,0,0,0
Navy,,17,0,0,6,0,1,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Force,,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,8,6,0,1,0,0,0,1,0,4,0,0,0,13,0,4,0,0,0
Boise St,,55,0,0,16,8,3,9,4,4,1,10,16,16,16,13,8,13,1,14,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCF,,48,5,0,7,16,11,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington St,,34,0,0,4,9,15,4,2,0,0,0,0,0,0,0,0,1,0,0,14,18,10,0,0,0,14,0,0,13,1,9,0,0,7,6,0,0,0,0,0,0,7,0
Syracuse,,14,5,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,15,9,12,7,7,9,17,16,0,6,9,11,0,0,0,0,0,0,0
Texas A&M,,90,5,14,8,8,0,12,8,8,17,10,9,6,0,0,4,6,1,9,0,7,3,5,16,16,13,4,17,17,17,17,15,9,15,2,10,15,5,0,0,0,0,0
Army,,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
West Virginia,,48,0,0,0,16,7,11,1,3,0,10,13,8,5,6,16,16,9,13,4,4,0,0,0,9,4,10,2,1,12,1,0,2,17,17,0,0,0,5,14,14,1,0
Northwestern,,30,0,0,0,4,4,0,11,0,7,4,0,0,0,3,0,0,2,0,0,0,7,10,0,0,2,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami,,47,4,3,0,7,16,7,0,0,10,0,0,9,15,1,0,3,16,16,17,18,17,17,15,7,5,18,10,17,17,17,16,16,17,17,16,15,9,16,12,9,12,6
Stanford,,85,0,0,2,7,12,9,14,8,17,16,16,15,4,0,0,0,0,0,0,0,11,0,2,0,9,0,4,2,5,17,5,0,0,0,0,5,0,0,0,0,2,6
USF,,21,0,0,0,3,15,3,0,0,0,0,4,0,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Tech,,39,0,2,2,5,15,8,0,1,3,3,16,11,16,6,16,14,16,9,14,18,17,17,17,12,11,13,9,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0
WMU,,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,,14,0,0,0,2,0,9,3,0,0,0,0,0,0,0,0,0,3,0,2,14,11,2,2,8,8,18,17,17,17,17,16,16,17,1,0,0,0,0,0,0,0,0
Louisville,,60,0,0,0,0,6,16,0,6,17,15,0,0,0,0,4,16,14,14,0,2,8,2,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0
UNC,,26,7,4,0,0,0,6,7,2,0,0,0,1,5,6,0,0,0,0,0,0,2,0,0,1,18,16,2,14,17,8,1,0,0,0,0,1,0,0,11,11,15,16
Iowa St,,16,0,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Arizona,,19,0,0,0,0,1,0,4,11,0,3,0,11,4,0,0,0,0,0,0,0,0,3,4,16,0,0,5,17,17,8,0,7,9,0,0,13,0,0,8,0,0,0
Georgia Tech,,11,0,0,0,0,0,0,4,7,0,0,8,2,15,6,2,10,9,0,0,0,13,7,17,10,3,2,0,0,0,8,6,11,0,0,0,0,1,3,0,0,0,0
Arizona St,,38,0,5,5,1,0,0,1,16,10,0,7,0,0,3,12,4,6,13,4,3,0,0,4,2,13,18,0,0,1,0,2,3,0,0,7,13,0,2,4,16,13,1
Missouri,,28,0,0,1,1,0,0,4,11,11,0,2,11,2,17,13,5,0,2,5,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9
Duke,,13,0,0,0,1,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Vanderbilt,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJSU,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIU,,14,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,,44,0,0,2,0,0,12,0,14,4,12,16,16,10,0,6,13,1,0,16,6,17,17,17,16,18,18,17,17,17,17,16,16,17,17,16,15,17,16,16,16,13,16
USM,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,13,10,1,6,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,1
Nevada,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,,2,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,2,0,6,4,8,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,7,4,14,7,0,1
Tulsa,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0
Texas Tech,,15,0,0,0,1,1,0,0,0,8,5,1,0,2,17,2,3,16,3,0,1,0,0,0,2,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
CMU,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,,2,2,0,0,0,0,0,0,0,0,0,0,0,8,9,10,0,0,0,0,0,0,0,0,0,0,5,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,14,12,14,8,0,0,2,0,4,0,0,0,1,6,10,13,0,0,0,0,0,1,0,16,9,2,0,0
Hawaii,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0
Illinois,,5,5,0,0,0,0,0,0,0,0,0,5,0,0,5,6,0,0,0,0,0,10,6,1,0,0,0,1,3,0,0,6,16,17,0,0,0,4,0,11,3,0,0
Rutgers,,8,0,0,0,0,0,0,0,0,0,8,0,0,1,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,,7,0,0,2,1,0,0,4,0,0,0,0,0,8,3,10,16,11,16,0,1,0,0,0,0,0,2,0,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0
Virginia,,7,0,0,6,1,0,0,0,0,0,0,1,0,0,0,6,0,6,16,3,1,0,0,4,16,0,16,17,9,10,9,5,14,8,0,0,0,1,2,0,0,0,0
M-Oh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purdue,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,16,0,6,16,17,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
BGSU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado St,,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,11,2,3,2,1,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,,7,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,2,0,0,5,0,11,0,0,0,0,0,0,0,0
ECU,,6,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0
App St,,9,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WKU,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMU,,13,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,16,16,16,12,8